official_code,script_code,origin,card_type
91557476,91557476,ygoprodeck_nine_deck_batch,67108897
7984540,7984540,ygoprodeck_nine_deck_batch,67108897
65285459,65285459,ygoprodeck_nine_deck_batch,67108897
44478599,44478599,ygoprodeck_nine_deck_batch,67108897
21200905,21200905,ygoprodeck_nine_deck_batch,67108897
30989084,30989084,ygoprodeck_nine_deck_batch,67108897
21903613,21903613,ygoprodeck_nine_deck_batch,67108897
73345237,73345237,ygoprodeck_nine_deck_batch,67108897
3828844,3828844,ygoprodeck_nine_deck_batch,8388641
33779875,33779875,ygoprodeck_nine_deck_batch,8388641
9349094,9349094,ygoprodeck_nine_deck_batch,8388641
7913375,7913375,ygoprodeck_nine_deck_batch,33
25206027,25206027,ygoprodeck_nine_deck_batch,33
68468459,68468459,ygoprodeck_nine_deck_batch,33
29904964,29904964,ygoprodeck_nine_deck_batch,33
7841921,7841921,ygoprodeck_nine_deck_batch,33
50354944,50354944,ygoprodeck_nine_deck_batch,33
61525276,61525276,ygoprodeck_nine_deck_batch,33
34130561,34130561,ygoprodeck_nine_deck_batch,33
7241272,7241272,ygoprodeck_nine_deck_batch,33
2106266,2106266,ygoprodeck_nine_deck_batch,524290
29477860,29477860,ygoprodeck_nine_deck_batch,131076
38590361,38590361,ygoprodeck_nine_deck_batch,2
56461575,56461575,ygoprodeck_nine_deck_batch,4
49328340,49328340,ygoprodeck_nine_deck_batch,131074
95281259,95281259,ygoprodeck_nine_deck_batch,2
6853254,6853254,ygoprodeck_nine_deck_batch,2
71490127,71490127,ygoprodeck_nine_deck_batch,2
55991637,55991637,ygoprodeck_nine_deck_batch,2
83195035,83195035,ygoprodeck_nine_deck_batch,4
72064891,72064891,ygoprodeck_nine_deck_batch,97
15989522,15989522,ygoprodeck_nine_deck_batch,97
10669138,10669138,ygoprodeck_nine_deck_batch,67108897
99267150,99267150,ygoprodeck_nine_deck_batch,97
85289965,85289965,ygoprodeck_nine_deck_batch,67108897
87288189,87288189,ygoprodeck_nine_deck_batch,33
9748752,9748752,ygoprodeck_nine_deck_batch,33
31596518,31596518,ygoprodeck_nine_deck_batch,33
50383626,50383626,ygoprodeck_nine_deck_batch,33
33746252,33746252,ygoprodeck_nine_deck_batch,33
